"Supplementary Table 6 – Candidate TEAD targets genes are annotated with expression information (in-house and public datasets), biological function and involvement in melanoma. ",,,,,,,,,,,
,,,,,,,,,,,
Gene Symbol,2 invasive vs 9 proliferative samples,,TEADs - KD in MM047,,TAZ activation in Glioma*,TCGA-SKCM (TEAD-high vs rest),,CCLE-melanoma (Resistant vs Sensitive),,ECM and locomotion (GO),Involvement in melanoma (NCBI)
Gene Symbol,log2FC,adj-p-val,log2FC,adj-p-val,log2FC,log2FC,adj-p-val,log2FC,adj-p-val,,
TRPC4,4.757708286,0.003180968,-2.771859174,1.00E-07,0,1.594244579,4.83E-08,0.304983295,0.127564007,1,0
VASP,1.085407575,0.008407573,0.100633037,0.708999973,0.718349872,0.050565741,0.722785978,0.5960296,0.02407979,1,0
VCL,1.068649614,0.059428314,0.946554477,3.93E-07,0.836515688,0.576698421,2.20E-06,0.316825163,0.138740809,1,0
VIT,5.139183375,0.003503905,NA,NA,NA,1.582696829,0.000456189,0.587454019,0.411685473,1,0
WNT5B,4.045643594,0.00818629,0.400021123,0.404096753,0.88725664,1.37567266,3.54E-07,0.952931098,0.015793293,1,0
ANPEP,8.392816111,3.46E-07,0.203761524,0.342532178,0.154631533,2.174987282,2.42E-15,0.591098577,0.123458274,0,1
CLU,4.280117929,8.87E-05,2.546349133,1.12E-32,0.515222666,-0.032327688,0.951030946,0.930153,0.136545134,0,1
CYLD,1.724317215,0.000386836,-0.12909435,0.710692454,0.890870478,0.27542061,0.102171338,0.474297105,0.045234089,0,1
DKK1,3.782770295,0.03051876,-1.690874085,8.50E-06,0,0.014401455,0.981189547,2.682328867,0.011713572,0,1
DKK3,5.093384833,7.57E-05,-3.00078062,3.50E-38,1.25218278,1.559560183,1.03E-06,2.034541719,0.019309495,0,1
EPAS1,2.700872834,0.004411204,-0.666086523,0.032718301,0.098388623,0.230227402,0.179951175,0.414673579,0.263787326,0,1
ERAP2,2.471068782,0.047734716,-0.38136598,0.125428342,0,-0.144384651,0.72825153,0.928095606,0.200676624,0,1
ERRFI1,3.32677027,8.81E-11,0.493274327,0.247875349,NA,2.753925342,9.72E-29,1.016297683,0.188796842,0,1
FAM129B,2.303759399,4.72E-06,0.563505366,0.00101844,NA,0.268256808,0.129721966,0.352144797,0.132106125,0,1
GSTM1,6.032343119,9.49E-05,NA,NA,-0.018641701,-0.586660852,0.251773628,-0.427372957,0.45312897,0,1
HSPA5,1.526625117,0.019812083,-0.107485609,0.868058972,1.354131065,0.471219186,4.16E-05,0.24299111,0.46544607,0,1
IDO1,6.578936814,1.85E-07,2.894217462,2.00E-15,0,-0.890094268,0.045294933,0.327821084,0.511704947,0,1
IL1A,6.928338356,2.09E-09,-0.738895829,0.192171065,0.742937387,2.916025754,2.53E-14,0.881485593,0.124283383,0,1
ISG15,5.435690109,1.50E-07,0.045391939,0.896579755,-0.884748767,-0.827671123,0.004863674,1.174216221,0.142780922,0,1
JUN,2.012751765,0.037635886,-0.025625625,0.972713004,0.477470624,0.358415963,0.09134609,1.856192257,0.006860199,0,1
LAMC2,5.342788528,3.78E-05,0.635215929,0.003711282,0.964087527,1.842161706,2.62E-06,0.228409162,0.099419414,0,1
LTBP2,3.617249359,0.002515204,-0.310649648,0.29857573,0.318943902,1.475277109,1.50E-11,1.254743206,0.02407979,0,1
MAGEA10,4.844034802,0.001188442,-0.502758535,0.164636239,0,0.020445576,0.9833714,1.186348237,0.3868924,0,1
MAGEA4,7.181263802,5.09E-11,NA,NA,-0.063953965,-0.915052666,0.251277931,-0.407295417,0.831012253,0,1
MAP3K14,1.473131701,0.019570314,0.396185889,0.091656067,1.619125485,-0.271982387,0.096574515,0.84276057,0.016645058,0,1
NFKBIA,2.260001712,0.004520069,-0.098421776,0.735000654,0.805348179,0.203340233,0.257519476,0.478331387,0.017488727,0,1
NLRP3,5.247210825,0.000258407,-0.911316785,0.008136576,0.075609858,0.845579731,0.000311056,0.296373963,0.176773425,0,1
NR3C1,1.51450158,0.000939808,-0.825435268,0.000644471,1.00024599,0.31406702,0.039367095,0.806350332,0.024643006,0,1
PDGFC,4.142668677,0.001629939,0.524457022,0.04865647,-0.722721352,2.093829605,9.71E-16,2.232139517,0.008282063,0,1
PMAIP1,1.612607722,0.028366039,0.724159984,0.000102823,4.354588767,1.210041611,1.63E-07,1.012120706,0.036217766,0,1
PPARG,4.586029816,0.000209938,-1.096536801,0.001601077,0,0.270069296,0.305727215,0.434641934,0.675823285,0,1
PSMB9,2.807736327,0.073972298,0.836949513,1.57E-07,0.384579948,-0.746856405,0.003455429,1.296346915,0.121168417,0,1
PVR,2.121990061,8.85E-05,-0.450820736,0.115680365,1.056310675,0.143294378,0.382344017,0.155981502,0.715271039,0,1
RIN1,2.026415732,0.013389156,1.091819996,5.33E-10,0.551982002,0.334115585,0.132759805,0.200910338,0.586111068,0,1
RND3,2.339922865,0.029959571,-0.217139792,0.692709828,1.462326184,1.072597509,2.07E-06,1.010169866,0.168201768,0,1
